Name,Value
Blank CD,0.01
Blausariam Ingot,0.12
Blausariam Stone,0.04
Blausariam Texture,0.24
Blazar Fragment,0.00001
Blemish Remover,0.2
Blood Fragment,0.2
Blood Moss,0.09
Bloodstone Crystal,0.09
Bloody Chainsaw Gas Cap,0.1
BLP Pack,0.0001
Blue Crystal,0.02
Blue Crystal Texture,0.0365
Blue Energized Glass,5
Blues Ingot,0.06
Blues Rock,0.02
Blumenberg AL-34 Plasma Temperature Sensor,2
Boar DNA Strand,0.02
Boar Eye,0.03
Boar Head,0.05
Boar Heart,0.05
Boar Hoove,0.01
Boar Steak,0.02
Boar Tail,0.02
Boar Tusk,0.01
Bodai Dust,0.2
Bodai Filler,0.4
Body Fat,0.08
Boffin Upgrade Parts,2.625
Bokol DNA Cartridge,0
Bokol Flesh,2
Bokol Hide,0.3
Bokol Leather,0.9
Bokol Leather Texture,0.22
Bokol Long Bone,0
Bokol Lumbar Plate,0.2
Bokol Mandible,2
Bokol Skull Plate,0
Bokol Spinal Plate,2.5
Bombardo,0.00001
Bombardo Flakes,2
Bonding Liquid,0.02
Bone,0.03
Bone-in Meat,0.13
Bone-out Meat,0.13
Bornite Crystal,0.02
Bram's Shock Flesh,0.3
Brass Alloy,0.36
British Pirate Flag,1
Broken Dreams,0.05
Broken Elysian Technology,0.00001
Broken Firestarter,0.005
Broken Scorpion,0.005
Bronze Alloy,0.3
Bronzite Crystal,0.05
Brown Snake Skin Cloth,0.9
Brown Snake Skin Texture,0.3
Brukite,0.00001
Brukite Stone Texture,0.01
Brushed Aluminium Texture,0.66
Bulging Mutant Skull,7
Burlap Fabric Texture,0.18
Bustamite Crystal,0.03
Busted Zyn Mordincran,0.0001
Cable Slot Adapter Component 1,0.4
Cable Slot Adapter Component 2,0.45
Cable Slot Adapter Component 3,0.6
Caboria Clam,0.04
Caboria Cord,0.08
Caboria Hide,0.07
Caboria Leather,0.28
Caboria Shell,0.07
Caboria Texture,0.19
Cacoxenite Crystal,0.8
Calcedony Crystal,1
Calcite Crystal,0
Caldorite Ingot,0.51
Caldorite Stone,0.17
Caldorite Texture,0.37
Calypso Bone Sample (Mission Item),0.00001
Campbell's Basic Framework,0.01
Canvas Fabric Texture,0.31
Carabok Hide,0.02
Carabok Leather,0.06
Carabok Leather Texture,0.01
Carabok Leg Fur,0.2
Caroot,0.00001
Caroot Lubricant,2
Cat's Eye Crystal,0.04
Caudatergus Horn,4.67
Caudatergus Leather,0.75
Caudatergus Leather Texture,0.18
Caudatergus Mandible,5.89
Caudatergus Skin,0.25
Caudatergus Skull,8
Caudatergus Trophy,0.01
Cave Sap,0.39
Cbase Plastic Texture,0.14
Cbase Robot Plastic,0.13
Celestite Stone,0.03
Cersumon Leather,1.2
Cersumon Leather Texture,1.2
Cersumon Skin,0.4
Cerussite Crystal,0.04
Chair Frame,0.4
Chalinum Alloy,2.601
Chalmon,0.94
Charisma Potion,0.2
Charoite Crystal,2
Cheap A$$ Ammo,0.0001
Cheetah Cloth,0.6
Cheetah Hide,0.2
Cheetah Texture,0.15
ChemSet,0.3
Chiastolite Crystal,0.08
Chilling Agent,0
Chimera Blood,0.01
Chimera Claw,0.01
Chimera Eye,0.01
Chimera Heart,0.02
Chimera Hide,0.03
Chimera Tail,0.02
Chlorite Crystal,0.04
Chomper Bone,7.89
Chomper Cloth,0.72
Chomper Hide,0.42
Chomper Leather,1.26
Chomper Leather Texture,5.43
Chomper Wool,0.24
Chrome Texture,1.01
Chrysoberyl Crystal,0.04
Chrysoberyl Fasteners,0.1
Chrysocolla Crystal,0
Chrysoprase Crystal,0
Citrine Crystal,0.07
Clear Crystal,0.1
Clear Crystal Texture,0.17
CND Bananas,0.01
Coarse Frieze Fabric Texture,0.14
Coarse Frote Fabric Texture,0.23
Cobalt Fragment,0.2
Cobalt Ingot,0.6
Cobaltium Ingot,2.001
Cobalt Stone,0.2
Cobalt Texture,0.4
Code Demon Hide,0.3
Code Demon Leather,0
Code Demon Texture,0.15
Cold Fabric,0.39
Cold Protective Coating,1
Cold THING Blood,1
Color Enhancing Agent,0.3
Combibo Leather,0.69
Combibo Leather Texture,0.15
Combibo Pike,0.04
Combibo Skin,0.23
Combustor,0.3
Common Dung,0.0001
Component Grease,0.15
Component Widget 1,0.1
Component Widget 2,0.1
Component Widget 3,0.1
Component Widget 4,0.1
Component Widget 5,0.1
Component Widget 6,0.1
Component Widget 7,0.1
Component Widget 8,0.1
Composite Plank,1
Compound,0
Compouned Plastic Seal,0.1
Compressed Plastic Spacers,0.08
Conduit,0.35
Copper Ingot,0.48
Copper Stone,0.16
,
Copper Texture,0.36
Coral,120
Coral Snake Skin Raw,0.3
Cordul Ingot,0.6
Cordul Stone,0.2
Cornundacauda Flag,3.44
Cornundacauda Horn,0.04
Cornundacauda Leather,1.35
Cornundacauda Leather Texture,0.24
Cornundacauda Sail,5.6
Cornundacauda Skin,0.45
Cornundacauda Skull,11
Cornundacauda Tentacle,0.12
Cornundos Leather,0.24
Cornundos Leather Texture,0.16
Cornundos Skin,0.08
Corria Texture,0.08
Corria Timber,0.2
Corria Veneer,0.01
Cosmetic Pen (Black),4
Cosmetic Pen (Dark Brown),4
Cosmetic Pen (Royal Blue),4
Cosmetic Pen (Royal Purple),4
Cosmetic Pen (Sea Green),4
Cosmetic Pen (Slate Grey),4
Cosmetic Pen (White),4
Couger Cloth,0.15
Couger Hide,0.05
Couger Texture,0.15
Cracked Shell,0.06
Creative Juice,0.1
Crocoite Crystal,800
Crude Oil,0.01
Crystal Honey,0
Crystal Pede Hide,0.05
Crystal Pede Leather,0.15
Crystal Pede Texture,0.05
Crystal Pollen,0.00001
Cube Empowered Lube,0.03
Cube Enhanced Metal,0.03
Cube Fortified Motherboard,0.02
Cube Infused Calcium,0.04
Cube Infused Hormone,0.11
CUHOF Key Base,0.04
CUHOF Key Pins,0.02
CUHOF Key Ring,0.03
Cultist Claw,1.6
Cultist Skull,15.6
Cumbriz Ingot,0.45
Cumbriz Stone,0.15
Cumbriz Texture,0.35
Cute Chainsaw Gas Cap,0.1
Cyber Demon Hide,0.4
Cyber Demon Leather,1.2
Cyber Demon Texture,0
Cyclops Arm,0.02
Cyclops Club,0.1
Cyclops Eye,0.02
Cyclops Head,0.01
Cyclops Leg,0.01
Cyclops Pouch,0.01
Cyclops Wrist Guard,0.01
Cyrene Mission Token,0.01
Cyrene Token Splinter,0
Cyrenium Ingot,1.5
Cyrenium Ore,0.5
Dahhar Bone,0.05
Dahhar Hide,0.06
Dahhar Leather,0.18
Dahhar Skin,0.03
Dahhar Texture,0.06
Daikiba Cloth,0.96
Daikiba DNA Samples,6
Daikiba Horn,0.4
Daikiba Leather,0.45
Daikiba Leather Texture,0.28
Daikiba Skin,0.15
Daikiba Skull,4
Daikiba Trophy (Quest),0.04
Daikiba Tusk,4
Daikiba Wool,0.32
Damaged Halloween Pumpkin (Mission),0
Danburite Crystal,0.01
Darkening Agent,0.16
Dark Lysterium,0.02
Dark Lysterium Bar,0.06
Dark Lysterium Cogs,0.25
Decent Calcium Compound,0.12
Decent Magnesium Component,0.2
Decent Protein Strain,0
Demon Bushweed,0.001
Demon Hacker Texture,0
Demon Virus Texture,0
Denim Fabric Texture,0.02
Desire  Potion,0.4
Devil's Tail,0.47
Diagen Firedrops,0.04
Diagen Matrix,0.12
Diamond,500
Diamond Texture,8
Dianthus Crystal Powder,0.6
Dianthus Liquid,0.3
Dianum Ingot,3.75
Dianum Ore,1.25
Dianum Texture,1.45
Diluted Body Oil,0.05
Diluted Cloth Extractor,0.01
Diluted Mineral Extractor,0.01
Diluted Sweat,0.01
Dire Weed Flaxen,0.2
Disapointment Potion,0.03
Disc Brake,0.6
Discharge Module,3.5
Discipline Potion,0.3
Distilled Sweat Crystal,1.1106
Divine GPS Unit,1
DNA Fragment A,1
DNA Fragment B,2
DNA Fragment C,2.56
DNA Fragment D,3.15
DNA Fragment E,5
Doors Hide,0.3
Doors Tail,0.3
Dopamine,0.05
Dotty's Fangs,0.8
Dragon Blood,0.5
Dragon Eye,0.5
Dragon Heart,0.2
Dragon Horn,0
Dragon Tooth,0.4
Drake Claw,0.015
Drake Head,0.1
Drake Heart,0.02
Drake Soul,0.01
Drake Tail,0.01
Drake Wing,0.03
Dread's Bonepiece,1.8
Dreams,0.8
Drive Shaft,0.9
Dromia Hide,0.06
Dromia Leather,0.18
Dromia Leather Texture,0.04
Drone Soldier Head,60
Duhol Hand Band,0.11
Duhol Sack of Bones,0.13
Duhol Strings,0.22
Dunkel Particle,0.55
Dunkel Plastix,1.1
Durable Coil,0.066
Durable Compressor,0.0416
Durable Damper,0.033
Durable Hood,0.0416
Durable Motor,0.1008
Durable Structure,0.149
Durulium Ingot,2.4
Durulium Stone,0.8
Durulium Texture,1
Dutch Pirate Flag,2
Edres Resin,0.13
Edres Varnish,0.26
Electronic Stabilizing Component,0.2
Electropositive Capacitor,0.033
Electropositive Communication,0.044
Electropositive Connector,0.181818
Electropositive Modulator,0.0208
Electropositive Processor,0.0416
Electropositive Security Module,0.09
Elvis Claw,0.2
Elvis Dragon Leather,0.6
Elvis Dragon Texture,0.15
Elvis Hide,0.2
Elvis Tail,0.5
Elysian Power Sphere,0.05
Elysian Tech Chip,0.00001
Emerald,300
Emerald Texture,5
Empis Hide,0.8
Empis Leather,2.4
Empis Texture,0.8
Empty Enhancer Component,1
Endorphins,0.02
Energized Crystal,0.3
Energized Crystal Cell,0.6
Energized Fertilizer,0.47
Energy Chamber,2
Energy Matter Residue,0.01
Enhanced Adaptive Fuse,1.17
Enhanced Cloth Extractor,0.01
Enhanced Electronic Fluid Memory,0.53
Enhanced Metal Extractor,0.01
Enhanced Mineral Extractor,0.01
Enhanced Mountings,1.9
Enhanced Optical Wave Emitter,1.1
Enhanced Organic Wire,1.24
Enhanced Scanning Sensor,0.61
Enhanced Strategic Combat Processor,0.47
Enhanced Talytic Converters,2.6
Enhanced Target Assessment Unit,0.41
Eomon Blood Sample Type A,1
Eomon Blood Sample Type B,2
Eomon Blood Sample Type C,5
Eomon Blood Sample Type D,50
Eomon Blood Sample Type E,100
Eomon Leather,18.66
Eomon Leather Texture,18.66
Eomon Skin,6.22
Epidote Crystal,0.02
Erdorium Ingot,1.2
Erdorium Stone,0.4
Erdorium Texture,0.6
Erionite Ingot,0.6
Erionite Stone,0.2
Essence of Evil,1
Eudialyte Crystal,0.01
Evenweave Cotton Fabric Texture,0.09
Exarosaur Cloth,0.36
Exarosaur DNA Samples,11
Exarosaur Leather,0.3
Exarosaur Leather Texture,0.17
Exarosaur Neckbone,0.34
Exarosaur Skin,0.1
Exarosaur Skull,9
Exarosaur Tooth,0.12
Exarosaur Wool,0.12
Exceptional Robot Contraction Unit,26
Exceptional Robot Hyper Charger,7.8
Exceptional Robot Optical Lens,1.78
Explosive Projectiles,0.0001
Extended Bolt Carriage,3
Extended Breech,2.7
Eyeshadow (Dark Tangerine),7
Eyeshadow (Gold),8
Eyeshadow (Hollywood Cerise),7
Eyeshadow (Medium Purple),7
Eyeshadow (Olive Drab),7
Eyeshadow (Pale Brown),7
Eyeshadow (Pale Cornflower Blue),7
Eyeshadow (Silver),8
Eyeshadow (Slate Grey),8
Eyeshadow (Steel Blue),7
Eyeshadow (White),7
Face Paint (Black),5
Face Paint (Blue),5
Face Paint (Dark Brown),5
Face Paint (Dark Green),5
Face Paint (Green),5
Face Paint (Grey),5
Face Paint (Navy Blue),5
Face Paint (Olive),5
Face Paint (Orange),5
Face Paint (Pale Brown),5
Face Paint (Pink),5
Face Paint (Purple),5
Face Paint (Red),5
Face Paint (Turqoise),5
Face Paint (White),5
Face Paint (Yellow),5
Failure Potion,0.75
Fairuz Ingot,0.15
Fairuz Stone,0.05
Faith Potion,0.3
Faucervix Claw,0.03
Faucervix Leather,0.6
Faucervix Leather Texture,0.26
Faucervix Skin,0.2
Faucervix Skull,11.3
Feedback Coupling,2.5
Feffox Leather,3.09
Feffox Leather Texture,1.05
Feffox Skin,1.03
Felt Fabric Texture,0.24
Feran Hide,0.07
Feran Leather,0.21
Feran Leather Texture,0.05
Feran Wing Claw,0.75
Ferguson's All Purpose Lube,0.1
Ferguson's Amalgam,0.0666
Ferguson's Refined Amalgam,0.11
Ferrum Nuts,1
Fi/Ra/Co Cause Parts,1
Fi/Ra/Co Evil Parts,1
Fine Frieze Fabric Texture,0.19
Fine Frote Fabric Texture,0.29
Fine Hessian Fabric Texture,0.03
Fine Hide,0.25
Fine Leather,0.75
Fine Leather Texture,0.74
Fine Lens,0.06
Fine Silk Fabric Texture,0.26
Fine Textile,1.2
Fine Wool,0.4
Fire Root Globule,0.3
Fire Root Pellet,0.6
Firn Board,0.59
Firn Texture,0.12
Firn Veneer,0.01
Fish Oil,0.03
Fish Scales,4.7
Flair Potion,0.65
Flannel Fabric Texture,0.03
Flash Suppressor,3.2
Flesh,0.13
Flesh Ripper Hide,4.7
Flesh Ripper Leather,14.1
Flesh Ripper Texture,4.7
Flint Arrow Head,0.24
Flint Axe Head,0.18
Florican Mist,0.27
Florican Spray,0.54
Flourite,140
Fluorite Crystal,0.03
Fly Amber,0.3
Focusing Lens,2
Focus Lens Component,0.2
Focus Potion,0.7
Folk Ingot,0.09
Folk Rock,0.03
Force Nexus,0.01
Foresight Potion,0.04
Formicacida Leg,7.98
Formicacida Scale,12
Formicacida Skull,18
Formidon Leather,1.38
Formidon Leather Texture,1.36
Formidon Skin,0.46
Formidon Skull,43
Fossil Ammonite,0.06
Fossil Tooth,0.03
Foul Bone,0.03
Foul Bone Buttons,0.09
Foul Eye,0.17
Foul Leather,0.9
Foul Leather Texture,0.37
Foul Skin,0.3
Foul Skull,10
Foul Suctioncup,0.19
Foul Teeth,0.18
Foundation (Bronze),5
Foundation (Brown),5
Foundation (Chocolate),5
Foundation (Dark Brown),5
Foundation (Golden Brown),5
Foundation (Pale Brown),5
Foundation (Pale Pink),5
Foundation (Peach),5
Foundation (Tan),5
Foundation (Wheat),5
Frakite Ingot,0.9
Frakite Stone,0.3
French Pirate Flag,2
Frescoquda Back Scale,3.61
Frescoquda Foot,17.6
Frescoquda Hide,0.54
Frescoquda Leather,1.62
Frescoquda Leather Texture,2
Frescoquda Tentacles,6.6
Frigulerian Dust,3.4405
Frigulite Ingot,0.36
Frigulite Stone,0.12
Frigulite Texture,0.32
Fuel Cells,0.05
Fugabarba Leather,0.03
Fugabarba Leather Texture,0.16
Fugabarba Skin,0.01
Fully Developed Halloween Pumpkin (Mission),0
Fungoid  DNA Samples,37.8
Fungoid Hat,12
Fungoid Tentacle,4.5
Furor DNA Samples,63.5
Furor Eye,18
Furor Skull,23
Galaurphite Ingot,14.7353
Galaxy 6V Gel Batteries,1.2
Galaxy 8V Gel Batteries,1.4
Galaxy 12V Gel Batteries,1.5
Galaxy 14V Gel Batteries,2.2
Galaxy S1 Ion Conductors,0.2
Galaxy S2 Ion Conductors,0.3
Galaxy S3 Ion Conductors,0.5
Gallard Hide,0.02
Gallard Leather,0.06
Gallard Leather Texture,0.01
Galvesperdite Ingot,6.3625
Gamer Chick Trucker Cap Blueprint,0.01
Ganganite Ingot,0.36
Ganganite Stone,0.12
Ganganite Texture,0.32
Garcen Grease,0.1
Garcen Lubricant,0.2
Garcia Claw,0.1
Garcia Dragon Leather,1.5
Garcia Dragon Texture,0.25
Garcia Hide,0.5
Garcia Tail,0.5
Garcia Wing,0.5
Garnet,150
Gas Module,2.25
Gas Plug,1.5
Gazzurdite Ingot,0.75
Gazzurdite Stone,0.25
Gazzurdite Texture,0.45
GEC Coil Springs 1M,0.9
GEC Coil Springs 2M,1.2
GEC Spur Gears 1K,0.3
GEC Spur Gears 2K,0.65
GEC Spur Gears 4K,1.75
GEC Spur Gears 5K,2
Generic Fuse,5
Generic Leather,0.03
Generic Leather Texture,0.05
Generic Transformer,5
Genesis Rookie Seismic Bomb,0.1
Genesis Rookie Survey Probe,0.1
Genesis Star Com Unit,2.3
Genesis Star Encrypted Holder,6.5
Genesis Star Encrypted Holder Series 2,2.8
Genesis Star Visual Display,3.1
GeoTrek Buttstock,0.8
GeoTrek EnBolts,1.3
GeoTrek Hardened Buttstock,0.9
GeoTrek Hardened EnBolts,1.4
GeoTrek Hardened Talytic Converters,1.1
GeoTrek Super Alloy Buttstock,0.8
GeoTrek Super Alloy EnBolts,1.5
GeoTrek Super Alloy Talytic Converters,1.2
GeoTrek Talytic Converters,1
German Pirate Flag,1
Ghali,0.16
Ghali Powder,0.32
Giant Banana,10
Giant Banana Bunch,100
Gimbals,1
Girder Beams,0.7
Glam Ingot,0.12
Glam Rock,0.04
Glitter Spray (Gold),17
Glitter Spray (Pink),17
Glitter Spray (Royal Blue),17
Glitter Spray (Silver),17
Glitter Spray (White),17
GMC Gamma Hide,1
GMC Gamma Leather,3
GMC Gamma Leather Texture,0.72
Gokibusagi Skull,33
Golden Chainsaw Gas Cap,0
Golden Shaker,2
Gold Ingot,3
Gold Stone,1
Gold Texture,1.2
Good Calcium Compound,0.06
Gorbek Emulsion,0.4
Gorbek Tallow,0.8
Gosubusagi Blood Sample,150
Gradivore Leather,1.2
Gradivore Leather Texture,0.24
Gradivore Skin,0.4
Gradivore Textile,1.92
Gradivore Wool,0.64
Graphene Composite,5
Graphene Polymer,1
Grated Metal Texture,1.15
Gray Cassette,0.01
Greater Claw,0.04
Greater Power Crystal,300
Green Cassette,0.02
Green CD,0.4
Green Crystal,0.03
Green Crystal Texture,0.0533
Green Energized Glass,5
Grindhouse Rodriguez Death Vinyl,0.01
Grindhouse Sleaze Death Vinyl,0.01
Grindhouse Striptease Death Vinyl,0.01
Grindhouse Tarantino Death Vinyl,0.01
Grooved Metal Texture,0.58
Growth Molecules,0.47
Grunge Ingot,0.12
Grunge Rock,0.04
Hadraada DNA Cartridge,0
Hadraada Flesh,2
Hadraada Hide,0.25
Hadraada Leather,0.75
Hadraada Leather Texture,0.18
Hadraada Long Bone,2
Hadraada Lumbar Plate,0.2
Hadraada Mandible,2
Hadraada Skull Plate,0
Hadraada Spinal Plate,2
Haimoros,0.00001
Haimoros Gel,2
Hair Gel,0.13
Hair Spray,0.06
Halite Crystal,0.05
Halix DNA Cartridge,0
Halix Eye,2
Halix Hide,0.05
Halix Leather,0.15
Halix Leather Texture,0.04
Halix Leg,2
Halix Leg Fur,0.5
Halix Mane,1
Halix Skull,0
Halix Tail,0.02
Hammered Metal Texture,0.75
Hansidian Ingot,0.03
Hansidian Rock,0.01
Hardened Alloy,0.0416
Hardened Clips,0.0624
Hardened Foil,0.033
